id,cu,disMacro,equip,equipRef,fc,navName,siteRef,type,mod
@p:gbsonomacounty:r:2dd14619-648a6b6b Sonoma Academy PAC FC-3-4,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-3-4,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14545-33e69379 Sonoma Academy PAC CU-4A&B,✓,$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,"",CU-4A&B,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:34:10.726Z UTC
@p:gbsonomacounty:r:2dd1462b-bb1a9398 Sonoma Academy PAC FC-3-5,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-3-5,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd1457d-7b5cf442 Sonoma Academy PAC FC-2-5,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-2-5,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dd14858-c8237c76 Sonoma Academy PAC CU-1 System,"",$siteRef $navName,✓,"","",CU-1 System,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-05-10T21:04:24.416Z UTC
@p:gbsonomacounty:r:2e74b15e-bf4834f3 Sonoma Academy PAC Fans,"",$siteRef $navName,✓,"","",Fans,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-09-11T19:51:58.22Z UTC
@p:gbsonomacounty:r:2dd14521-dab716ed Sonoma Academy PAC CU-3B,✓,$siteRef $navName,✓,@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",CU-3B,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:34:10.726Z UTC
@p:gbsonomacounty:r:2da36bda-0f8c508b Sonoma Academy PAC TCP-3,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2da36be7-dced9b4a Sonoma Academy PAC TCP Points Unassigned,"",TCP-3,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,TCP,2024-04-06T02:12:34.631Z UTC
@p:gbsonomacounty:r:2e8d6620-a829b16e Sonoma Academy PAC TCP-1,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2da36be7-dced9b4a Sonoma Academy PAC TCP Points Unassigned,"",TCP-1,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-09-30T13:37:36.238Z UTC
@p:gbsonomacounty:r:2dd1438f-37c1d592 Sonoma Academy PAC FC-1-2,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14432-6b27113c Sonoma Academy PAC CU-5 System,✓,FC-1-2,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
@p:gbsonomacounty:r:2dbb3f38-ba1b966f Sonoma Academy PAC AHU-1-System,"",$siteRef $navName,✓,"","",AHU-1-System,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-05-10T20:56:43.322Z UTC
@p:gbsonomacounty:r:2dd14648-3faaf6f3 Sonoma Academy PAC FC-4-3,"",$siteRef $navName,✓,@p:gbsonomacounty:r:2dd14898-4d9e305f Sonoma Academy PAC CU-4 System,✓,FC-4-3,@p:gbsonomacounty:r:2da36588-6f1ffd64 Sonoma Academy PAC,"",2024-06-22T05:31:54.11Z UTC
